station,Latitude,Longitude
7240,47.444500,0.727333
7255,47.059167,2.359833
7280,47.267833,5.088333
7299,47.614333,7.510000
7314,46.046833,-1.411500
7335,46.593833,0.314333
7434,45.861167,1.175000
7460,45.786833,3.149333
7471,45.074500,3.764000
7481,45.726500,5.077833
7510,44.830667,-0.691333
7558,44.118500,3.019500
7577,44.581167,4.733000
7591,44.565667,6.502333
7643,43.577000,3.963167
7650,43.437667,5.216000
7690,43.648833,7.209000
61968,-11.582667,47.289667
61997,-46.432500,51.856667
